post_id,author,date,reply_to_post_id,academic_year,instructor_names,course_content_type,course_role,prerequisites_mentioned,has_gamification,delivery_mode,attendance_required,participation_graded,assessment_types,has_exams,course_pacing,prior_knowledge_level,student_year,major_context,instructor_clarity,instructor_engagement,instructor_helpfulness,teaching_style,finals_weight_pct,progressive_scoring,su_consideration,consistent_effort_required,peer_support_culture,warns_plagiarism,exam_quality_concerns,overload_warning
1504826432,imwaihon,"Saturday, July 12, 2014 5:43 AM",,AY13/14,,practical,,False,True,,,True,"['exams', 'assignments']",True,,none,,is,,,,hands_on,30.0,,,True,,,,
1504826448,Yangshun,"Saturday, July 12, 2014 6:02 PM",1504826432,,,,,,,,,,,,,,,is,,,,,,,,,,,,
6347312856,meower,"Tuesday, December 19, 2023 2:07 AM",,AY23/24 Sem 1,"['Ashish', 'Adi']",practical,,,True,,,True,"['exams', 'quizzes']",True,,,,is,,,,hands_on,,,,,,,True,
6347316515,meower,"Tuesday, December 19, 2023 2:12 AM",6347312856,,,practical,,,,,,,,,,,,is,,,,,,,,,,,,
5872739993,anonymous_tiger,"Tuesday, May 31, 2022 2:06 AM",,AY21/22 Sem 2,"['Prof Ashish', 'Prof Ashish\nAssessment']",practical,,,True,,,True,"['exams', 'essays']",True,,,,is,,,,hands_on,40.0,,,,True,,True,
1504826433,Unknown,"Thursday, July 17, 2014 4:52 PM",,,,practical,elective_ue,,,online,,,,,,,,is,,,,,,,,,,,,
1504826429,Unknown,"Saturday, July 12, 2014 3:13 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5199289297,Russell Saerang,"Wednesday, December 23, 2020 11:45 PM",,AY20/21 Sem 1,"['Prof. Leong Wai Kay', 'Prof. Ben Leong', 'Prof. Ben Leong\nAssessment']",practical,,,True,,,True,['exams'],True,,,,is,,,,hands_on,40.0,,,,True,,,
6072817821,M90jC6M7b!Yy,"Friday, December 23, 2022 1:58 PM",,AY22/23 Sem 1,"['Leong Wai Kay', 'Jericho', 'Prof Leong', 'Professor Ashish']",practical,,False,True,,,,"['exams', 'essays']",True,,none,,is,,,,lecture_based,55.0,True,discouraged,,,,,
6059462116,Justin Tan,"Wednesday, December 7, 2022 2:51 PM",,AY22/23 Sem 1,"['Prof Leong Wai Kay', 'Dr Nitya', 'Prof Leong', 'Prof Ben Leong']",practical,,,True,hybrid,,True,['exams'],True,fast,,,is,clear,engaging,helpful,hands_on,40.0,True,,True,True,True,,
5848310277,ChlorineCl2,"Thursday, May 5, 2022 9:57 PM",,AY21/22 Sem 2,"['Prof Ashish', 'Nigel (Graduating', 'bye haffun)', 'Karen', 'Prof Ashish\nTutor']",practical,,,True,,,True,"['exams', 'essays']",True,,,,is,,,,hands_on,40.0,,,,True,,,
1775908538,Unknown,"Wednesday, January 7, 2015 12:31 PM",,AY14/15,['Prof Ben'],practical,core,True,,,,,,,,,4.0,Statistics major,,engaging,,lecture_based,,,mentioned,True,,,,
1504826430,Yangshun,"Saturday, July 12, 2014 3:11 AM",,,['Prof Ben Leong'],,,,,,,,,,,,,,,,helpful,,,,,,,,,
5068992589,Nuoyi Jiang,"Monday, September 14, 2020 1:03 AM",,AY20/21,,practical,,,True,,,,,,,some,,statistics,,engaging,,,,,,,,,,
6816327250,DrKel,"Tuesday, December 30, 2025 4:40 PM",,,"['Dr Nitya Lakshmanan', 'Dr Ashish Deepak D', 'ekar', 'Ong Keari', 'Dr Ashish', 'Dr Ashish Deepak Dandekar', 'Dr Ashish\nConsistency']",discussion,,,,,,,,,,,,is,,,helpful,lecture_based,,,,True,,,,
6332775295,aa,"Tuesday, November 28, 2023 5:25 PM",,AY23/24 Sem 1,,practical,,,True,,,True,"['exams', 'quizzes']",True,,,,,,,,hands_on,40.0,,,,,,,
6352924305,aa,"Wednesday, December 27, 2023 11:24 AM",6332775295,,,practical,,,,,,,,,,,,is,,,,,,,,,,,,
6221621831,áž€áž˜áŸ’áž–áž»áž‡áž¶,"Sunday, July 2, 2023 12:41 PM",,AY22/23 Sem 1,,,,,,,,,,,,,1.0,is,,,,,,,,,,,,
6197578325,blah,"Wednesday, May 31, 2023 10:18 PM",,AY22/23 Sem 2,,practical,,True,True,,,True,['exams'],True,,,,is,,,helpful,hands_on,40.0,True,,True,True,True,,
6069949436,charlie,"Tuesday, December 20, 2022 2:22 AM",,AY22/23 Sem 1,"['Chang Soo Yen (super dedicated', ""this sem's head TA!)""]",practical,,True,True,,,,"['exams', 'assignments']",True,,experienced,,is,,,helpful,,,,,,True,,,
6050734303,Wayne Wong Hoi Yin,"Sunday, November 27, 2022 4:43 AM",,AY21/22 Sem 1,['Prof Leong Wai Kay'],practical,,,True,,,True,['exams'],True,,,,,,,,hands_on,40.0,,,,,,,
6246194129,Wayne Wong Hoi Yin,"Thursday, August 3, 2023 1:16 PM",6050734303,,,,,,,,,,,,,,,is,,,,,,,,,,,,
5653193360,Alistair Chia,"Tuesday, December 21, 2021 3:54 PM",,AY2021/2022 Sem 1,['Prof Leong Wai Kay'],practical,,,True,,,True,"['exams', 'assignments']",True,,,2.0,Life Science Major,,,helpful,hands_on,,,,True,True,,,
5002636214,BeryPhysics,"Thursday, July 23, 2020 5:48 PM",,AY19/20 Sem 1,,practical,,True,True,online,,,['essays'],,,,,is,,,,lecture_based,,,,,,,,
4262010973,Jonathan Chang,"Sunday, December 30, 2018 3:53 PM",,AY18/19 Sem 1,['Prof Leong Wai Kay'],practical,,,,,,,"['exams', 'assignments']",True,fast,,,is,,,,hands_on,,,,,,,,
4256720417,Owen,"Wednesday, December 26, 2018 2:54 PM",,AY2018/19 Sem 1,,practical,core,True,True,,,True,"['exams', 'quizzes', 'assignments']",True,,,,is,,,,hands_on,,,,True,,,,True
2105113958,Thiru,"Monday, June 29, 2015 12:04 AM",,AY14/15,['Prof Ben'],practical,,True,,,,,,,,,,is,,,,,,,,,,,,
1506549957,NUSMods,"Sunday, July 27, 2014 10:05 PM",,,,practical,,,True,,,,,,,,,is,,,,,,,,,,,,
6813901074,...,"Tuesday, December 23, 2025 2:29 PM",,AY25/26 Sem 1,"['Prof Nitya', 'Ashish']",theory,,,True,,,,"['exams', 'assignments']",True,,some,,,,,,hands_on,40.0,,,,,,,
6620610544,Damaen Tan,"Tuesday, December 31, 2024 11:25 AM",,AY22/23 Sem 1,"['Leong Wai Kay', 'She Chee Yee']",practical,,,True,,,True,"['exams', 'assignments']",True,,,,,,,,hands_on,,,,,True,,,
6611800496,elfinmimic,"Sunday, December 15, 2024 10:07 PM",,AY24/25 Sem 1,"['Nitya', 'Ashish']",practical,,,True,in_person,,True,['exams'],True,,,,,,,,hands_on,20.0,,,,,,,
6173759501,small monkey,"Sunday, April 30, 2023 12:51 PM",,AY22/23 Sem 2,['Yu Cai'],practical,,,True,,,True,"['exams', 'essays']",True,,,,is,,,,hands_on,40.0,True,,,,,,
6197500204,small monkey,"Wednesday, May 31, 2023 8:20 PM",6173759501,,,practical,,,True,,,True,"['exams', 'essays']",True,,,,is,,,,hands_on,,True,,,,,,
