post_id,author,date,reply_to_post_id,academic_year,instructor_names,course_content_type,course_role,prerequisites_mentioned,has_gamification,delivery_mode,attendance_required,participation_graded,assessment_types,has_exams,course_pacing,prior_knowledge_level,student_year,major_context,instructor_clarity,instructor_engagement,instructor_helpfulness,teaching_style,finals_weight_pct,progressive_scoring,su_consideration,consistent_effort_required,peer_support_culture,warns_plagiarism,exam_quality_concerns,overload_warning
6697371191,ap3jedi,"Wednesday, April 30, 2025 10:02 PM",,AY24/25 Sem 1,"['Prof Zimmermann', 'Prof An', 'Prof Anandha', 'Prof Roger Zimmermann']",,,,,,,,"['exams', 'quizzes', 'essays']",True,fast,,3.0,is,,,helpful,,,,mentioned,,,,,
6798603297,Dr Ilyas Bellingham,"Wednesday, November 19, 2025 7:40 PM",6697371191,,,,,,,,,,['exams'],True,,,,is,,,,,,,,,,,,
6798608315,ap3jedi,"Wednesday, November 19, 2025 7:59 PM",6798603297,,,,,,,,,,"['exams', 'essays']",True,,,,is,,,,,,,,,,,,
6801201686,Dr Ilyas Bellingham,"Tuesday, November 25, 2025 7:53 PM",6798608315,,,,,,,,,,,,,,,,,,,,,,,,,,,
6802043097,ap3jedi,"Thursday, November 27, 2025 4:14 PM",6801201686,,,,,,,,,,,,,,,,,,,,,,,,,,,
6803296841,Dr Ilyas Bellingham,"Monday, December 1, 2025 12:24 AM",6802043097,,,,,,,,,,,,,,,,,,,,,,,,,,,
5413942781,Russell Saerang,"Thursday, June 10, 2021 12:47 AM",,AY20/21 Sem 2,"['Prof. Chong Ket Fah', 'Prof. Chong']",practical,,,,,,,"['exams', 'quizzes', 'essays', 'assignments', 'labs']",True,fast,,,is,clear,,,discussion_based,40.0,,,,,,,
5467724962,Văn Minh Lê,"Saturday, July 24, 2021 9:04 PM",5413942781,,,,,,,,,,,,,,,,,,,,,,,,,,,
6840821907,Balasuriyan Ramachandran,"Saturday, February 21, 2026 10:27 PM",5413942781,,,,,,,,,,,,,,,,,,,,,,,,,,,
6815577034,fkLeetcode,"Sunday, December 28, 2025 6:30 PM",,AY25/26,,theory,,,,online,,True,"['exams', 'quizzes', 'essays', 'labs']",True,fast,,,is,clear,,mixed,lecture_based,40.0,,,,True,,,
6836049823,idk,"Tuesday, February 10, 2026 10:08 PM",6815577034,,,,,,,,,,,,,,,is,,,,,,,,,,,,
6813872848,gomuflower,"Tuesday, December 23, 2025 11:35 AM",,AY25/26,"['Prof Low Kok Lim', 'Prof Sanka Rasnayaka', 'Prof Roger Zimmerman\nTutor', 'Prof Roger']",practical,,,,online,,True,"['exams', 'quizzes', 'essays', 'assignments', 'labs']",True,slow,,,is,,,helpful,lecture_based,,,,,,,,
6808030781,Dr Ilyas Bellingham,"Thursday, December 11, 2025 10:37 PM",,AY25/26,"['Prof Sanka', 'Prof Roger Zimmerman\nProgramming']",practical,,True,,,,True,"['exams', 'quizzes', 'assignments', 'labs']",True,,none,,is,,,helpful,lecture_based,,,,True,True,True,,
6242634586,Wayne Wong Hoi Yin,"Saturday, July 29, 2023 10:28 PM",,AY22/23,['Prof Chong Ket Fah'],practical,,True,True,,,,"['exams', 'quizzes', 'assignments', 'labs']",True,,,,is,,,helpful,lecture_based,40.0,,,,,,,
6342279178,Wayne Wong Hoi Yin,"Monday, December 11, 2023 11:50 PM",6242634586,,,,,,,,,,,,,,,,,,,,,,,,,,,
6342288859,Lum,"Tuesday, December 12, 2023 12:04 AM",6342279178,,,,,,,,,,,,,,,,,,,,,,,,,,,
6254323049,Wayne Wong Hoi Yin,"Monday, August 14, 2023 12:12 PM",6242634586,,,,,,,,,,,,,,,,,,,,,,,,,,,
5874528490,anonymous_peanut,"Wednesday, June 1, 2022 11:12 PM",,AY21/22 Sem 2,['Prof. Chong Ket Fah'],practical,,,,online,,True,"['exams', 'quizzes', 'essays', 'assignments', 'labs']",True,,,,is,,,,,20.0,,,,,,,
6806554545,MA1522 UBottom,"Monday, December 8, 2025 3:17 PM",,AY25/26 Sem 1,['Nguyen'],practical,,,,online,,,"['exams', 'quizzes', 'essays', 'assignments', 'labs']",True,,,,is,unclear,,unhelpful,lecture_based,40.0,,,True,,,,
6814654236,MA1522 UBottom,"Thursday, December 25, 2025 5:11 PM",6806554545,,,,,,,,,,,,,,,,,,,,,,,,,,,
6726713393,survivor,"Monday, June 23, 2025 9:40 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6450257112,aa,"Saturday, May 4, 2024 12:55 AM",,AY23/24 Sem 2,"['Prof Chong Ket Fah', 'Prof Chong']",practical,,,,,,,"['exams', 'quizzes', 'essays', 'assignments', 'labs']",True,,,,is,,,helpful,,,,,,True,,,
6475093995,aa,"Thursday, June 6, 2024 9:32 PM",6450257112,,,,,,,,,,"['exams', 'quizzes']",True,,,,,,,,,,,,,,,,
6243192481,small monkey,"Sunday, July 30, 2023 6:11 PM",,AY22/23,,practical,,,,,,,"['exams', 'quizzes', 'assignments', 'labs']",True,fast,none,,is,,,,,,,,,,,,
6348025155,small monkey,"Wednesday, December 20, 2023 1:38 AM",6243192481,,,,,,,,,,,,,,,,,,,,,,,,,,,
6065940165,Naman Agrawal,"Wednesday, December 14, 2022 11:24 PM",,AY22/23 Sem 1,"['Prof. Tan Sun Teck', 'Prof. Roger Zimmermann', 'Prof. Roger Zimmermann\nAssessments', 'Prof. Tan']",practical,,,,online,,True,"['exams', 'quizzes', 'labs']",True,,,,is,,,helpful,hands_on,40.0,,,True,True,,,
6050316704,ChlorineCl2,"Saturday, November 26, 2022 5:04 PM",,AY22/23 Sem 1,"['Prof Tan Sun Teck', 'Roger Zimmermann', 'Prof Tan', 'Prof Roger']",practical,,,,,,True,"['exams', 'quizzes', 'labs']",True,fast,,,is,,engaging,helpful,,,,,,,,,
5695354593,Rain and Coffee,"Tuesday, January 18, 2022 12:13 AM",,AY20/21,['Dr. Chong Ket Fah'],practical,,,True,online,,True,"['exams', 'quizzes', 'projects', 'assignments', 'labs']",True,,none,,is,,,,lecture_based,,,,,,,,
5653007711,disqus_nJFMKjAtd8,"Tuesday, December 21, 2021 12:04 PM",,AY21/22 Sem 1,['Prof Tan Sun Teck'],practical,,,,in_person,,True,"['exams', 'quizzes', 'assignments', 'labs']",True,fast,,,is,,,,hands_on,,,,,True,,,
5202262846,おたく,"Saturday, December 26, 2020 10:09 PM",,AY20/21 Sem 1,"['Tan Sun Teck', 'Prof Tan']",practical,,,,in_person,,,"['exams', 'quizzes', 'labs']",True,,,,is,,,,lecture_based,40.0,,,True,,,,
6555146732,catnip S,"Sunday, September 22, 2024 11:22 PM",,AY23/24 Sem 1,['Dr Chong Ket Fah'],practical,,,,online,,True,"['exams', 'quizzes', 'assignments', 'labs']",True,,,,is,,,,lecture_based,40.0,,,,,,,
6472579586,DarkAxel,"Monday, June 3, 2024 9:58 AM",,AY23/24 Sem 2,"['Prof Chong Ket Fah', 'David Eom']",practical,,,,,,,"['exams', 'quizzes', 'assignments', 'labs']",True,,,,is,,,,,,,,,,,,
6467964480,Damaen Tan,"Tuesday, May 28, 2024 1:07 AM",,AY23/24 Sem 2,"['Prof Chong Ket Fah', 'Ivan Chew']",practical,,True,,,,True,"['exams', 'quizzes', 'assignments', 'labs']",True,,none,,is,,,,discussion_based,,,,,,,,
6453061451,bellcurvefeeder,"Tuesday, May 7, 2024 10:18 PM",,AY23/24 Sem 2,['Prof Chong'],theory,,,,,,,"['exams', 'quizzes', 'labs']",True,,,,is,unclear,,,discussion_based,,,,,True,,,
6472820997,bellcurvefeeder,"Monday, June 3, 2024 9:22 PM",6453061451,,,,,,,,,,,,,,,,,,,,,,,,,,,
6357981265,SquattingSmiski,"Thursday, January 4, 2024 12:08 AM",,AY23/24 Sem 1,,,,True,,,,,"['exams', 'quizzes']",True,,none,,,,,,,,,,,True,,,
6352958795,កម្ពុជា,"Wednesday, December 27, 2023 1:12 PM",,,,practical,,,,online,,,"['exams', 'assignments', 'labs']",True,,,,is,,,,lecture_based,,,,,,,,True
6352937327,DeezNuas,"Wednesday, December 27, 2023 12:01 PM",,AY23/24 Sem 1,['Prof Chong Ket Fah'],practical,,,,,,,"['exams', 'quizzes', 'assignments', 'labs']",True,,,,,,,,,40.0,,,,,,,
6352878286,RandomDSAguy,"Wednesday, December 27, 2023 9:33 AM",,AY23/24 Sem 1,['Prof Chong Ket Fah'],practical,,,True,,,,"['exams', 'quizzes', 'assignments', 'labs']",True,,,,is,,,,,40.0,,,,,,,
6325675245,kfcemployee,"Saturday, November 18, 2023 3:16 AM",,AY23/24,['Prof Chong Ket Fah'],practical,,True,,online,,,"['exams', 'quizzes', 'assignments', 'labs']",True,,experienced,,is,,,,lecture_based,,,,,,True,,
6056301178,anonymous_student_123,"Saturday, December 3, 2022 11:50 PM",,AY22/23 Sem 1,"['Prof. Tan Sun Teck', 'Prof. Roger Zimmermann', 'Prof. Roger Zimmermann\nTutorial']",practical,,,,,,True,"['exams', 'quizzes', 'labs']",True,,,,is,clear,,helpful,,,,,,True,,,
6051018796,Siong Hwee,"Sunday, November 27, 2022 1:56 PM",,AY22/23 Sem 1,"['Prof Tan Sun Teck + Prof Roger Zimmerman', 'Prof Tan Sun Teck', 'Prof Roger Zimmerman\nTutorial']",practical,,,,,,True,"['exams', 'quizzes', 'labs']",True,,,,is,,,,,40.0,,,,,,,
6070273905,Siong Hwee,"Tuesday, December 20, 2022 10:21 AM",6051018796,,,,,,,,,,,,,,,is,,,,,,,,,,,,
5976099387,kok,"Saturday, September 10, 2022 10:38 PM",,AY21/22,"['Dr Chong Ket Fah', 'Prof Chong', 'Prof Tan Tiow Seng']",theory,,True,,online,,True,"['exams', 'quizzes', 'essays', 'assignments', 'labs']",True,,,1.0,Computer Science,clear,,,lecture_based,,,,True,,,,
5932587292,dogshit_cs_student,"Saturday, July 30, 2022 10:36 AM",,AY2021/2022,"['Prof Chong Ket Fah', 'Prof Chong']",practical,,,,,,,"['exams', 'quizzes', 'assignments', 'labs']",True,,,,is,clear,,helpful,lecture_based,,,,,,,,
5948816913,dogshit_cs_student,"Monday, August 15, 2022 3:52 PM",5932587292,,,,,,,,,,,,,,,,,,,,,,,,,,,
5006175919,anon127294529013,"Sunday, July 26, 2020 2:22 PM",,AY19/20,"['Prof Aquinas Hobor', 'Prof Aquinas Hobor\nAssessment']",practical,,True,,online,,True,"['exams', 'quizzes', 'assignments', 'labs']",True,fast,,,is,,,,,,,,True,,,,
4259448579,awake,"Friday, December 28, 2018 6:44 PM",,AY18/19 Sem 1,"['Asst Prof Harold Soh', 'Prof Harold is an excellent lecturer with a great flair for teaching. He engages the audience well', 'lectures are generally interesting', 'even if you have prior knowledge.', 'Prof Harold Soh\nSynopsis', 'Prof Harold']",practical,,True,,,,True,"['exams', 'quizzes']",True,,,,is,,,,hands_on,,,,,True,,,
3978843942,monikernemo,"Sunday, July 8, 2018 4:31 PM",,,"['AP Tan Sun Teck', 'Prof Tan']",practical,,,,,,,"['exams', 'labs']",True,,,,is,,,,hands_on,,,,,,,,
